1
14
1 356 21.1 		FFA-W3-211
-180.0000000	-0.0786750	0.0060000	-0.0291430
-179.0000000	0.0275940	0.0065010	0.0102300
-178.0000000	0.1338640	0.0080030	0.0493500
-177.0000000	0.2401340	0.0105040	0.0882010
-176.0000000	0.3464030	0.0139990	0.1267650
-175.0000000	0.4526730	0.0184820	0.1650270
-174.0000000	0.5589420	0.0239490	0.2029710
-173.0000000	0.6647920	0.0303900	0.2404290
-172.0000000	0.7593790	0.0377970	0.2735090
-171.0000000	0.8046880	0.0461600	0.2887470
-170.0000000	0.7630240	0.0554680	0.2731290
-169.0000000	0.6587460	0.0657090	0.2358040
-168.0000000	0.5543660	0.0768700	0.1990480
-167.0000000	0.4815700	0.0889350	0.1738800
-166.0000000	0.4398540	0.1018890	0.1599250
-165.0000000	0.4197610	0.1157160	0.1537440
-164.0000000	0.4131150	0.1303990	0.1524130
-163.0000000	0.4145100	0.1459170	0.1540190
-162.0000000	0.4206240	0.1622530	0.1573990
-161.0000000	0.4294320	0.1793840	0.1618490
-160.0000000	0.4396860	0.1972900	0.1669420
-159.0000000	0.4506000	0.2159470	0.1724150
-158.0000000	0.4616660	0.2353340	0.1781010
-157.0000000	0.4725490	0.2554240	0.1838940
-156.0000000	0.4830240	0.2761940	0.1897250
-155.0000000	0.4929370	0.2976180	0.1955510
-154.0000000	0.5021830	0.3196680	0.2013440
-153.0000000	0.5106880	0.3423170	0.2070870
-152.0000000	0.5184020	0.3655380	0.2127700
-151.0000000	0.5252910	0.3893020	0.2183900
-150.0000000	0.5313330	0.4135790	0.2239440
-149.0000000	0.5365170	0.4383400	0.2294340
-148.0000000	0.5408360	0.4635540	0.2348630
-147.0000000	0.5442910	0.4891890	0.2402350
-146.0000000	0.5468870	0.5152150	0.2455530
-145.0000000	0.5486310	0.5416000	0.2508240
-144.0000000	0.5495360	0.5683110	0.2560520
-143.0000000	0.5496140	0.5953160	0.2612430
-142.0000000	0.5488830	0.6225810	0.2664000
-141.0000000	0.5473580	0.6500740	0.2715290
-140.0000000	0.5450600	0.6777600	0.2766330
-139.0000000	0.5420090	0.7056070	0.2817160
-138.0000000	0.5382270	0.7335800	0.2867810
-137.0000000	0.5337350	0.7616450	0.2918300
-136.0000000	0.5285580	0.7897690	0.2968650
-135.0000000	0.5227180	0.8179160	0.3018880
-134.0000000	0.5162420	0.8460530	0.3068980
-133.0000000	0.5091520	0.8741460	0.3118950
-132.0000000	0.5014750	0.9021610	0.3168780
-131.0000000	0.4932360	0.9300630	0.3218460
-130.0000000	0.4844590	0.9578200	0.3267960
-129.0000000	0.4751720	0.9853980	0.3317240
-128.0000000	0.4653980	1.0127630	0.3366280
-127.0000000	0.4551630	1.0398820	0.3415030
-126.0000000	0.4444920	1.0667230	0.3463430
-125.0000000	0.4334090	1.0932530	0.3511430
-124.0000000	0.4219400	1.1194400	0.3558970
-123.0000000	0.4101070	1.1452530	0.3605980
-122.0000000	0.3979350	1.1706610	0.3652390
-121.0000000	0.3854460	1.1956340	0.3698120
-120.0000000	0.3726620	1.2201400	0.3743090
-119.0000000	0.3596060	1.2441520	0.3787220
-118.0000000	0.3462990	1.2676390	0.3830430
-117.0000000	0.3327610	1.2905740	0.3872610
-116.0000000	0.3190120	1.3129300	0.3913680
-115.0000000	0.3050710	1.3346790	0.3953550
-114.0000000	0.2909570	1.3557960	0.3992120
-113.0000000	0.2766870	1.3762550	0.4029300
-112.0000000	0.2622790	1.3960320	0.4065000
-111.0000000	0.2477480	1.4151020	0.4099120
-110.0000000	0.2331110	1.4334440	0.4131570
-109.0000000	0.2183810	1.4510360	0.4162260
-108.0000000	0.2035740	1.4678550	0.4191110
-107.0000000	0.1887030	1.4838830	0.4218020
-106.0000000	0.1737790	1.4991000	0.4242920
-105.0000000	0.1588160	1.5134880	0.4265720
-104.0000000	0.1438250	1.5270290	0.4286360
-103.0000000	0.1285340	1.5397080	0.4304580
-102.0000000	0.1135200	1.5515100	0.4320700
-101.0000000	0.0985080	1.5624190	0.4334450
-100.0000000	0.0835070	1.5724240	0.4345790
-99.0000000	0.0685250	1.5815130	0.4354670
-98.0000000	0.0535700	1.5896740	0.4361040
-97.0000000	0.0386500	1.5968980	0.4364860
-96.0000000	0.0237720	1.6031760	0.4366110
-95.0000000	0.0089420	1.6085000	0.4364770
-94.0000000	-0.0058320	1.6128650	0.4360820
-93.0000000	-0.0205440	1.6162650	0.4354240
-92.0000000	-0.0351890	1.6186970	0.4345040
-91.0000000	-0.0497610	1.6201560	0.4333220
-90.0000000	-0.0642530	1.6206420	0.4318790
-89.0000000	-0.0786610	1.6201540	0.4301760
-88.0000000	-0.0929790	1.6186920	0.4282170
-87.0000000	-0.1072020	1.6162580	0.4260040
-86.0000000	-0.1213240	1.6128560	0.4235410
-85.0000000	-0.1353400	1.6084880	0.4208310
-84.0000000	-0.1492440	1.6031610	0.4178810
-83.0000000	-0.1630300	1.5968810	0.4146960
-82.0000000	-0.1766930	1.5896540	0.4112800
-81.0000000	-0.1902280	1.5814910	0.4076420
-80.0000000	-0.2036270	1.5724000	0.4037880
-79.0000000	-0.2168840	1.5623920	0.3997250
-78.0000000	-0.2299930	1.5514790	0.3954620
-77.0000000	-0.2429460	1.5396750	0.3910060
-76.0000000	-0.2557370	1.5269930	0.3863660
-75.0000000	-0.2683580	1.5134490	0.3815520
-74.0000000	-0.2808000	1.4990580	0.3765720
-73.0000000	-0.2930560	1.4838370	0.3714360
-72.0000000	-0.3051170	1.4678060	0.3661530
-71.0000000	-0.3169730	1.4509830	0.3607330
-70.0000000	-0.3286160	1.4333880	0.3551860
-69.0000000	-0.3400360	1.4150420	0.3495220
-68.0000000	-0.3512210	1.3959670	0.3437510
-67.0000000	-0.3621620	1.3761860	0.3378830
-66.0000000	-0.3728480	1.3557230	0.3319280
-65.0000000	-0.3832670	1.3346010	0.3258960
-64.0000000	-0.3934070	1.3128470	0.3197960
-63.0000000	-0.4032570	1.2904860	0.3136390
-62.0000000	-0.4128040	1.2675450	0.3074320
-61.0000000	-0.4220340	1.2440520	0.3011870
-60.0000000	-0.4309360	1.2200340	0.2949110
-59.0000000	-0.4394950	1.1955210	0.2886140
-58.0000000	-0.4476990	1.1705420	0.2823030
-57.0000000	-0.4555320	1.1451260	0.2759870
-56.0000000	-0.4629820	1.1193050	0.2696740
-55.0000000	-0.4700340	1.0931080	0.2633710
-54.0000000	-0.4766740	1.0665690	0.2570850
-53.0000000	-0.4828880	1.0397180	0.2508220
-52.0000000	-0.4886610	1.0125880	0.2445890
-51.0000000	-0.4939790	0.9852120	0.2383920
-50.0000000	-0.4988270	0.9576220	0.2322350
-49.0000000	-0.5031920	0.9298520	0.2261240
-48.0000000	-0.5070610	0.9019340	0.2200640
-47.0000000	-0.5104180	0.8739030	0.2140590
-46.0000000	-0.5132510	0.8457930	0.2081110
-45.0000000	-0.5155470	0.8176370	0.2022250
-44.0000000	-0.5172940	0.7894680	0.1964040
-43.0000000	-0.5184800	0.7613220	0.1906490
-42.0000000	-0.5190930	0.7332320	0.1849630
-41.0000000	-0.5191250	0.7052310	0.1793490
-40.0000000	-0.5185650	0.6773530	0.1738060
-39.0000000	-0.5174060	0.6496320	0.1683380
-38.0000000	-0.5156410	0.6221010	0.1629440
